"AdID","ABS","Driver-side airbag","Passenger-side airbag","Sunroof","Radio","4WD","Power windows","Alloy wheels","Central door lock","Alarm system","Navigation system","Immobilizer","Side airbag","Seat heating","Disabled accessible","Cruise control","Xenon headlights","On-board computer","Electronic stability control","Fog lights","Trailer hitch","Air conditioning","Roof rack","Power steering","Automatic climate control","Traction control","Electrically adjustable seats","MP3","Panorama roof","Auxiliary heating","Sport package","Start-stop system","Multi-function steering wheel","Daytime running lights","Sport suspension","Sport seats","Adaptive headlights","Ski bag","Adaptive Cruise Control","Armrest","Electrically heated windshield","Heated steering wheel","Hill Holder","Digital radio","LED Headlights","Electric tailgate","LED Daytime Running Lights","Leather steering wheel","Air suspension","Massage seats","Night view assist","Tire pressure monitoring system","Keyless central door lock","Lane departure warning system","Blind spot monitor","Touch screen","USB","Traffic sign recognition","Electrical side mirrors","Bluetooth","Isofix","Rain sensor","Parking assist system sensors front","Parking assist system sensors rear","Parking assist system camera","Parking assist system self-steering","CD player"
"402536097",1,1,1,"NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL",1,1,"NULL","NULL",1,"NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL",1
"399720640",1,1,1,"NULL",1,"NULL",1,1,1,1,"NULL",1,1,1,"NULL","NULL","NULL",1,1,"NULL","NULL",1,"NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,1,"NULL",1,"NULL","NULL",1
"387593671",1,1,1,"NULL",1,"NULL",1,1,1,"NULL","NULL",1,1,1,"NULL","NULL","NULL",1,1,"NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL",1,"NULL","NULL",1
"401283600",1,1,1,"NULL",1,"NULL",1,"NULL",1,"NULL","NULL",1,1,"NULL","NULL","NULL","NULL",1,1,"NULL","NULL",1,"NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL",1
"400551363",1,1,1,"NULL",1,"NULL",1,1,1,"NULL","NULL",1,1,1,"NULL","NULL","NULL",1,1,"NULL","NULL",1,"NULL",1,"NULL",1,"NULL",1,"NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL",1
"399823976",1,1,1,"NULL","NULL","NULL",1,"NULL",1,"NULL","NULL",1,1,1,"NULL","NULL","NULL","NULL",1,"NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL",1,"NULL","NULL",1
"391707648",1,1,1,"NULL",1,"NULL",1,1,1,"NULL",1,1,1,1,"NULL","NULL","NULL",1,1,"NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL",1,"NULL",1,1,1,"NULL","NULL",1,"NULL","NULL",1
"401317218",1,1,1,"NULL",1,"NULL","NULL","NULL",1,1,1,1,1,1,"NULL",1,1,1,1,1,"NULL",1,"NULL","NULL",1,1,"NULL","NULL","NULL","NULL",1,1,1,"NULL",1,1,"NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL",1,1,"NULL","NULL",1,1,1,"NULL",1,1
"402601146",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL",1,1,"NULL","NULL","NULL","NULL",1,"NULL",1,"NULL",1,"NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL"
"402586089",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL",1,"NULL","NULL","NULL",1,1,"NULL","NULL","NULL","NULL",1,"NULL",1,"NULL",1,"NULL","NULL","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,"NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL"
