"SellerID","Vendor","City","ZipCode","Country"
"12780250","Private Offer","Houthalen","3530","Belgium"
"10741206","Auto 21","Coesfeld","48653","NULL"
"6609","Autohaus Gläser OHG","Bruchköbel","63486","NULL"
"6539","AHG Autohandelsgesellschaft mbH","Calw","75365","NULL"
"20132253","bhg Baden Autohandelsgesellschaft mbH","Freiburg","79115","NULL"
"21291466","Autohaus Michael Viole","Göttingen","37079","NULL"
"19865663","Schindlers Automobile","Falkensee","14612","NULL"
"1932485","KW Automotive","BC WIJCHEN","6603","NULL"
"4996095","Autohaus Louis Dresen GmbH","Euskirchen","53881","NULL"
"3835128","Konto gehackt habe keine Autos","Köln","51149","NULL"
"29253539","Private Offer","Sindelfingen","71069","Germany"
"29541652","Philipp Dillinger","Ruhstorf","94099","NULL"
"9884431","Private Offer","Zetel","26340","Germany"
"31847520","KL Auto's","AA OOSTERHOUT","4905","NULL"
"21897889","Azimli Auto","Remscheid","42859","NULL"
"32093018","Private Offer","Miesbach","83714","Germany"
"34013982","Private Offer","Erkrath","40699","Germany"
"33883362","Private Offer","Leipzig","04155","Germany"
"32146603","Private Offer","Göppingen","73037","Germany"
"20016535","Berger & Kaveh GmbH","Bremen","28217","NULL"
"31077","Autohandel J.Ackermann","Bochum","44869","NULL"
"5051999","Private Offer","Wismar","23970","Germany"
"12372745","Private Offer","Lollar","35457","Germany"
"13454444","Schwaben Autocenter","Augsburg","86165","NULL"
"23464","Automobile Nebi","Pfaffenhofen","85276","NULL"
"9209134","Aksakal Automobile","Weil der Stadt","71263","NULL"
"23051767","Auto EMHA GbR","Stadtallendorf","35260","NULL"
"22926121","Private Offer","Hauzenberg","94051","Germany"
"33964394","Private Offer","München","81825","Germany"
"32016339","Private Offer","Surberg","83362","Germany"
"29281634","Private Offer","Hofheim Am Taunus","65719","Germany"
"32922752","Private Offer","Nürnberg","90478","Italy"
"34141942","Private Offer","Urízar de Lemóniz","48620","Spain"
"20274149","Private Offer","Reisbach","94419","Germany"
"5145078","Private Offer","Hamburg","22301","Germany"
"18433334","AutoBest-Ludwigshafen","Ludwigshafen","67071","NULL"
"21248","DIVA Automobile","Bielefeld","33647","NULL"
"22320043","Private Offer","Manderscheid","54649","Germany"
"26011541","A&M Autowelt","Hamburg","20539","NULL"
"6298580","Dabag Deutsche Automobilberatung","Oranienburg","16515","NULL"
"29105186","Autohandlerei e.U.","Putzleinsdorf","4134","NULL"
"15895","Autohaus Schwarzkopf","Amberg","92224","NULL"
"4406170","Auto Reiter Gmbh","Fohnsdorf","8753","NULL"
"15924426","V.Auto srl","Civita Castellana – Viterbo","01033","NULL"
"3315426","Drive ME GmbH","Regau","4844","NULL"
"26234646","Pieterson Auto’s","JK APELDOORN","7328","NULL"
"16453206","AutoOnline.nl B.V. Strijen & loon op zand","AX LOON OP ZAND","5175","NULL"
"11733","MOTOR MUNICH, concesionario oficial BMW y MINI","terrassa","8223","NULL"
"19972768","BMW SECLIN - AUTOSPHERE","Seclin","59113","NULL"
"12198779","Private Offer","Büren","33142","Germany"
"19820659","Autofit E Mörtl","Wettenberg","35435","NULL"
"14169572","Matin Automobile","Hamburg","20537","NULL"
"24184044","BRQ-Carz","Ichtegem","8480","NULL"
"14405600","BAVARIA CONCEPT SECLIN","SECLIN","59113","NULL"
"3214207","Aramex Auto sprl","Marcinelle","6001","NULL"
"6088","AVG Auto-Vertrieb-GmbH","Raubling","83064","NULL"
"22200349","ReifschneiderCars","Schweinfurt","97424","NULL"
"33985804","Private Offer","Ellwangen","73479","Germany"
"22721","Autohaus Spree - Eck","Fürstenwalde","15517","NULL"
"21933647","Private Offer","Köln","51103","Germany"
"33308404","Private Offer","Hadamar","65589","Germany"
"22764719","Private Offer","Hohenwart","86558","Germany"
"6876865","LA Car Care GmbH","Moosthenning","84164","NULL"
"34414486","Private Offer","Gilly","6060","Belgium"
"9129370","Private Offer","Bornheim","53332","Germany"
"32551054","Private Offer","Balan","08200","France"
"21329393","Autocenter Neuhausen","München","80687","NULL"
"34393367","Private Offer","Pechbrunn","95701","Germany"
"28379595","AGIDA AUTOS INTERNATIONAL","Machelen","1830","NULL"
"28903975","Private Offer","Flensburg","24943","Germany"
"33742659","Private Offer","Leimen","66978","Germany"
"15818857","Autohaus Reinicke GmbH","Mücheln","06249","NULL"
"24409929","E.M.G. Automobile","Schneeberg","08289","NULL"
"13919112","M.S. Automobile","Sondershausen","99706","NULL"
"2601664","Auto-Treff 24 GmbH","Wuppertal","42109","NULL"
"33468153","Private Offer","laakirchen","4663","Austria"
"7236","Caren Srl","Roma","00188","NULL"
"2984034","Autohaus Stephan Winkler GmbH","Schwerin","19061","NULL"
"16175856","Auto Noureddine","Geldern","47608","NULL"
"21427286","Autohaus Schultenhof GmbH","Mülheim an der Ruhr","45475","NULL"
"23776057","Private Offer","Wangerland","26434","Germany"
"33365229","Private Offer","Cham","93413","Germany"
"24145639","Autohero GmbH","Stuttgart","70499","NULL"
"3474537","Nehman Automobile","Karlstein am Main","63791","NULL"
"5650555","Autohaus Günther","Neuwied","56564","NULL"
"30923945","Autowelt Oral GmbH","Recklinghausen","45659","NULL"
"8821385","Autohaus Barnitzke","Bochum","44866","NULL"
"33158001","Private Offer","Mettlach","66693","Germany"
"2173643","BK AUTO","Hilden","40721","NULL"
"9385364","Auto-Technik Dähne GmbH","Wittenberge","19322","NULL"
"6242537","Auto-Technik Dähne GmbH","Rathenow","14712","NULL"
"16254164","SACHSENWAGEN GmbH","Leipzig","04129","NULL"
"10483466","Autohaus Kaltenbach GmbH","Arnsberg","59823","NULL"
"32825484","Acx Systems Automotive","Meulebeke","8760","NULL"
"18398661","Autozentrum Rems Murr","Backnang","71522","NULL"
"34484694","Private Offer","Stelle","21435","Germany"
"16300024","Autohaus Pilmut","Bremen","28207","NULL"
"34231360","Private Offer","Bielefeld","33604","Germany"
"34142020","Private Offer","Rastatt","76437","Germany"
"28987581","Private Offer","reiskirchen","35447","Germany"
"24770","Amrein Automobile GmbH & Co.KG","Lahnstein","56112","NULL"
"25414372","Autobedrijf B. in 't Veld","JK APELDOORN","7328","NULL"
"27136","Kalkan Automobile","Neckarsulm","74172","NULL"
"17623277","Fortuna Automobile GmbH","Ansbach","91522","NULL"
"9327375","H.Automobile","Hamburg","22043","NULL"
"24259544","Autohero GmbH","Köln","50739","NULL"
"34369464","Private Offer","Pforzheim","75181","Germany"
"11707506","Reiner Wiegand","Viernheim","68519","NULL"
"16873","Auto-Zentrum Grathwohl & Friebel GmbH","Tuttlingen","78532","NULL"
"25816971","Die Automobilagentur GbR","Geilenkirchen","52511","NULL"
"22174","Bilotta + Hau GmbH","Saarbrücken","66115","NULL"
"3933099","Autohaus Döger & Moretti GmbH","Berlin-Spandau","13597","NULL"
"27573851","Private Offer","Karlsruhe","76227","Germany"
"34172662","Private Offer","Calcinato","25011","Italy"
"16879","Autohaus Eichhorn GmbH","Naumburg","06618","NULL"
"32683805","Private Offer","bussolengo","37060","Italy"
"34356360","Private Offer","Reutlingen","72766","Germany"
"21129444","Private Offer","Mettlach","66693","Germany"
"26989459","Private Offer","Innsbruck","6020","Austria"
"11886146","Private Offer","brescia","25020","Italy"
"23319915","Private Offer","Torino","10155","Italy"
"33287210","Private Offer","Coburg","96450","Germany"
"32564304","Private Offer","münster","48151","Germany"
"21900293","Private Offer","Würzburg","97080","Germany"
"34494570","Private Offer","Roma","00100","Italy"
"14531990","Private Offer","Nivelles","1400","Belgium"
"7207094","Autohof Capan","Kirchheimbolanden","67292","NULL"
"9855310","K.M cars","Seraing","4100","NULL"
"33164010","A.K Automobile","Meerbusch","40668","NULL"
"20298200","Autoconcurrent Emmen","AC EMMEN","7821","NULL"
"28893406","Private Offer","Sankt Johann im Pongau","5600","Austria"
"33982444","Private Offer","Koln","50999","Germany"
"26123067","Autohaus Exzellent GmbH","Troisdorf","53842","NULL"
"32778409","Private Offer","Remchingen","75196","Germany"
"28308","Autobedrijf Wijma","AJ LEEUWARDEN","8939","NULL"
"20681","Auto-Müller","Heusenstamm","63150","NULL"
"15139548","Motor-Nützel Vertriebs-GmbH","Hof","95030","NULL"
"3889108","Car Service Schkeuditz","Schkeuditz","04435","NULL"
"12186056","Europe inmotion KG","Salzburg","5020","NULL"
"20043945","APE Auto Park ESSEN","Essen","45141","NULL"
"16311","Autohaus Souren GmbH","Aachen","52070","NULL"
"34303946","Private Offer","Bad Homburg","61352","Germany"
"34174616","Private Offer","Ham","3945","Belgium"
"30503106","Private Offer","Wallerfangen","66798","Germany"
